hub,tier,price,adoption_rate
Marketing Hub,Starter,58,1.211
Marketing Hub,Starter,68,1.101
Marketing Hub,Starter,78,0.99
Marketing Hub,Starter,88,0.878
Marketing Hub,Starter,98,0.821
Marketing Hub,Starter,108,0.704
Marketing Hub,Professional,421,1.196
Marketing Hub,Professional,431,1.111
Marketing Hub,Professional,441,0.997
Marketing Hub,Professional,451,0.886
Marketing Hub,Professional,461,0.803
Marketing Hub,Professional,471,0.699
Marketing Hub,Enterprise,1198,1.165
Marketing Hub,Enterprise,1208,1.087
Marketing Hub,Enterprise,1218,0.975
Marketing Hub,Enterprise,1228,0.867
Marketing Hub,Enterprise,1238,0.809
Marketing Hub,Enterprise,1248,0.687
Sales Hub,Starter,34,1.221
Sales Hub,Starter,44,1.063
Sales Hub,Starter,54,0.994
Sales Hub,Starter,64,0.888
Sales Hub,Starter,74,0.768
Sales Hub,Starter,84,0.7
Sales Hub,Professional,412,1.17
Sales Hub,Professional,422,1.104
Sales Hub,Professional,432,1.014
Sales Hub,Professional,442,0.905
Sales Hub,Professional,452,0.808
Sales Hub,Professional,462,0.721
Sales Hub,Enterprise,1177,1.199
Sales Hub,Enterprise,1187,1.083
Sales Hub,Enterprise,1197,0.988
Sales Hub,Enterprise,1207,0.888
Sales Hub,Enterprise,1217,0.779
Sales Hub,Enterprise,1227,0.716
Service Hub,Starter,40,1.211
Service Hub,Starter,50,1.067
Service Hub,Starter,60,0.983
Service Hub,Starter,70,0.878
Service Hub,Starter,80,0.806
Service Hub,Starter,90,0.722
Service Hub,Professional,408,1.209
Service Hub,Professional,418,1.086
Service Hub,Professional,428,0.994
Service Hub,Professional,438,0.872
Service Hub,Professional,448,0.774
Service Hub,Professional,458,0.717
Service Hub,Enterprise,1227,1.229
Service Hub,Enterprise,1237,1.086
Service Hub,Enterprise,1247,1.001
Service Hub,Enterprise,1257,0.914
Service Hub,Enterprise,1267,0.767
Service Hub,Enterprise,1277,0.679
CMS Hub,Starter,38,1.24
CMS Hub,Starter,48,1.081
CMS Hub,Starter,58,0.993
CMS Hub,Starter,68,0.888
CMS Hub,Starter,78,0.76
CMS Hub,Starter,88,0.702
CMS Hub,Professional,392,1.199
CMS Hub,Professional,402,1.104
CMS Hub,Professional,412,0.998
CMS Hub,Professional,422,0.891
CMS Hub,Professional,432,0.79
CMS Hub,Professional,442,0.69
CMS Hub,Enterprise,1180,1.18
CMS Hub,Enterprise,1190,1.083
CMS Hub,Enterprise,1200,0.981
CMS Hub,Enterprise,1210,0.911
CMS Hub,Enterprise,1220,0.806
CMS Hub,Enterprise,1230,0.701
Ops Hub,Starter,30,1.239
Ops Hub,Starter,40,1.081
Ops Hub,Starter,50,1.022
Ops Hub,Starter,60,0.895
Ops Hub,Starter,70,0.803
Ops Hub,Starter,80,0.713
Ops Hub,Professional,393,1.19
Ops Hub,Professional,403,1.079
Ops Hub,Professional,413,0.982
Ops Hub,Professional,423,0.858
Ops Hub,Professional,433,0.812
Ops Hub,Professional,443,0.712
Ops Hub,Enterprise,1222,1.232
Ops Hub,Enterprise,1232,1.108
Ops Hub,Enterprise,1242,1.013
Ops Hub,Enterprise,1252,0.898
Ops Hub,Enterprise,1262,0.809
Ops Hub,Enterprise,1272,0.722
